Property_ID,First_Year_Institutional,Latest_Match_Reason,Latest_Owner,Years_Present
100012    0202500000000,,Keyword: BLACKROCK,nan,nan
100012 0202500000000,2025,Keyword: BLACKROCK REALTY ADVISORS,0000015183421219 SOUTH LAMAR VENTURE LLC F000000000000 % BLACKROCK REALTY ADVISORS JENNIFER FREEDMAN 400 HOWARD ST SAN FRANCISCO CA 941052618 FF,2025
1004484P    0202500000000,,Mailing: 94105,nan,nan
192427    0202500000000,,Keyword: BLACKROCK,nan,nan
192427 0202500000000,2025,Keyword: GUTHRIE PROPERTY OWNER,000001808199GUTHRIE PROPERTY OWNER LP F000000000000 C/O BLACKROCK REATY ADVISORS INC 50 HUDSON YARDS FL 8 NEW YORK NY 100012180 FF,2025
230568    0202500000000,,Keyword: % REALTY ADVISORS,nan,nan
233131 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
233162    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
279769 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280107 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280558 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
280753    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
280753 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
280826    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
280826 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
281121    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
281121 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
281173    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
281173 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
282392 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
284000    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
284000 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
285769 0202500000000,2025,Keyword: AMH 2015,000001639309AMH 2015-1 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
285801    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
285801 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
285823 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
287161    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
294185    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
294185 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001947448PROGRESS RESIDENTIAL BORROWER 20 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
375518 0202500000000,2025,Keyword: AMH TX PROPERTIES,000001929820AMH TX PROPERTIES LP F000000000000 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
376955    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
376955 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
377038    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
379606    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
379606 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001956454PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
379732    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
379732 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
379847    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
379847 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
384596P    0202500000000,,Mailing: 75201,nan,nan
402164P    0202500000000,,Mailing: 75201,nan,nan
428299 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
428473 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
428485    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
428485 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
428592    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
428592 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
430896    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
430896 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
445058 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
445260    0202500000000,,Keyword: AH4R,nan,nan
445260 0202500000000,2025,Keyword: AH4R,000001548291AH4R I TX LLC F000000000000 30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 FF,2025
445553    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
445553 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
462977    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
462977 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
463073    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
463073 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
463107    0202500000000,,Keyword: AH4R,nan,nan
463107 0202500000000,2025,Keyword: AH4R,000001720523AH4R PROPERTIES LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
466852 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
482253    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
482253 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001956454PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
506220    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
506220 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
507214    0202500000000,,Keyword: AH4R,nan,nan
507214 0202500000000,2025,Keyword: AH4R,000001650754AH4R I TX LLC F000000000000 SUITE 200 30601 AGOURA RD AGOURA HILLS CA 913012148 FF,2025
507638    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
507638 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001595371AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
508252    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
508252 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
528574    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
529800    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
529800 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT TRS,000002035386GONZALEZ JONATHAN MATTHEW & SUGELY F000000000000 2221 PLAINFIELD CT PFLUGERVILLE TX 786605083 FF,2025
530104    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530109    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530176 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
530457    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530467    0202500000000,,Keyword: AH4R,nan,nan
530467 0202500000000,2025,Keyword: AH4R,000001548291AH4R I TX LLC F000000000000 30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 FF,2025
530580 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
530583 0202500000000,2025,Keyword: AMH 2014,000001622703AMH 2014-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
530743    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530743 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
530972    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530972 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
530978    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
530997 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
531024 0202500000000,2025,Keyword: AMH TX PROPERTIES,000002040687MOORE MICHAEL F000000000000 13513 SEA BISCUIT DR DEL VALLE TX 786175864 FF,2025
536809P    0202500000000,,Mailing: 94105,nan,nan
546349 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
546541 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
546715    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
548880    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
548880 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
548943 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
548954 0202500000000,2025,Keyword: AMH 2015,000001639309AMH 2015-1 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
550989    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
550989 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001956454PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
552428    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
552428 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
552605    0202500000000,,Keyword: AH4R,nan,nan
552605 0202500000000,2025,Keyword: AH4R,000001543754AH4R I TX LLC F000000000000 22917 PACIFIC COAST HWY STE 300 MALIBU CA 902656415 FF,2025
555400 0202500000000,2025,Mailing: 91302 + Corp Entity,000001958534DESERT LIGHTS LLC F000000000000 2287 MULHOLLAND HWY #621 CALABASAS CA 91302 FF,2025
557521 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
566746 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
567483    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
567483 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001969255PROGRESS RESIDENTIAL BORROWER 24 LL F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
567523 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
567729 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
568310    0202500000000,,Keyword: AH4R,nan,nan
568310 0202500000000,2025,Keyword: AH4R,000001930664AH4R PROPERTIES TWO LLC F000000000000 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
568328 0202500000000,2025,Keyword: PROGRESS AUSTIN LLC,000001896591PROGRESS AUSTIN LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
568748    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
568748 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT LP,000001554289AMERICAN HOMES 4 RENT LP F000000000000 STE 200-AM 280 PILOT RD LAS VEGAS NV 891193532 FF,2025
569567 0202500000000,2025,Keyword: PROGRESS AUSTIN LLC,000001894831PROGRESS AUSTIN LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
571605 0202500000000,2025,Keyword: AMH 2014,000001609351AMH 2014-1 BORROWER LLC F000000000000 30601 AGOURA RD STE 200 AGOURA HILLS CA 913012148 FF,2025
571658    0202500000000,,Keyword: PROGRESS RESIDENTIAL,nan,nan
571658 0202500000000,2025,Keyword: PROGRESS RESIDENTIAL BORROWER,000001940622PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000 PO BOX 4090 SCOTTSDALE AZ 852614090 FF,2025
572796 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
572882 0202500000000,2025,Keyword: AMH TX PROPERTIES,000001929820AMH TX PROPERTIES LP F000000000000 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
572898    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
572898 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001561988AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000 280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 FF,2025
573601 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
573714    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
573714 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
573769 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
573900 0202500000000,2025,Keyword: AMH 2015,000001660315AMH 2015-2 BORROWER LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
576301    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
576301 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
576338    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
576539    0202500000000,,Keyword: AH4R,nan,nan
576539 0202500000000,2025,Keyword: AH4R,000001548291AH4R I TX LLC F000000000000 30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 FF,2025
584468    0202500000000,,Keyword: AMERICAN HOMES 4 RENT,nan,nan
584468 0202500000000,2025,Keyword: AMERICAN HOMES 4 RENT PROPERTIES,000001624458AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000 ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 FF,2025
